topic,topic_label,chunks,top_words,earliest_publication_year,latest_publication_year,top_documents
77,Agricultural Labor and Corn Harvesting,31,"corn, shuck, dat, aunt dice, dice, cornshuck, chitlin, aunt, carve, shuck dat",1837.0,1911.0,"Aunt Dice: The Story of a Faithful Slave (6 chunks); Life on the Old Plantation in Ante-Bellum Days, or, A Story Based o... (4 chunks); Bond and Free: A Tale of the South (2 chunks)"
88,Missionary Work in Africa,30,"africa, missionary, mission, association, soudan, african mission, mission work, rev, congo, baptist",1837.0,1926.0,"Africa for Christ. Twenty-Eight Years a Slave (6 chunks); Twenty-Eight Years a Slave, or The Story of My Life in Three Contin... (5 chunks); An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda... (3 chunks)"
91,Agricultural Education and Economic Empowerment,30,"farmer, carver, agricultural, school, tuskegee, negro farmer, farm, county, macon county, booker washington",1856.0,1929.0,"Booker T. Washington, Builder of a Civilization (9 chunks); My Larger Education: Being Chapters from My Experience (6 chunks); A North-Side View of Slavery. The Refugee: or the Narratives of Fug... (2 chunks)"
90,The Role of Knowledge and Education in Slave Life,30,"knowledge, auld, ignorance, nature, mr auld, religious, liberty know, escape, liberty, mistress",1789.0,1906.0,"Life and Times of Frederick Douglass, Written by Himself. His Early... (2 chunks); Life and Times of Frederick Douglass: His Early Life as a Slave, Hi... (2 chunks); My Bondage and My Freedom. Part I. Life as a Slave. Part II. Life a... (2 chunks)"
89,Whipping and Plantation Punishment,30,"valentine, mr hall, sold, overseer, whip, william, old man, zulus, jerry, flog",1837.0,1912.0,"A North-Side View of Slavery. The Refugee: or the Narratives of Fug... (3 chunks); American Slavery As It Is: Testimony of a Thousand Witnesses (3 chunks); Life and Times of Frederick Douglass, Written by Himself. His Early... (2 chunks)"
92,"Ship, Sail, Fleet, Captain",30,"ship, sail, fleet, captain, board, crew, french, admiral, privateer, lieutenant",1760.0,1929.0,"The Interesting Narrative of the Life of Olaudah Equiano, or Gustav... (12 chunks); Chains and Freedom: Or, The Life and Adventures of Peter Wheeler, a... (6 chunks); The Slave: or Memoirs of Archy Moore. Vol. II (3 chunks)"
87,Separation from Family and Loss of Affection,30,"lucilla, mrs moore, precious child, agony, dear, precious, babe, moore, affection, wilmington",1831.0,1894.0,"Experience and Personal Narrative of Uncle Tom Jones; Who Was for F... (4 chunks); The Experience of Rev. Thomas H. Jones, Who Was a Slave for Forty-T... (4 chunks); The Experience of Thomas H. Jones, who was a Slave for Forty-Three ... (4 chunks)"
86,Mothers' Labor and Childcare in Slavery,30,"aunt katy, kate, katy, baby, jared, potato, aunt, isabella, vina, bread",1836.0,1922.0,Bond and Free: A Tale of the South (4 chunks); The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (4 chunks); Autobiography of a Female Slave (3 chunks)
85,Dueling and Vigilantism,30,"affray, pistol, shot, knife, murder, bowie, stab, bowie knife, wound, white population",1839.0,1914.0,"American Slavery As It Is: Testimony of a Thousand Witnesses (26 chunks); Battles and Victories of Allen Allensworth, A. M., Ph. D., Lieutena... (1 chunks); The Life and Adventures of Zamba, an African Negro King; and His Ex... (1 chunks)"
84,Breaking and Entering,30,"madison, ennis, warrick, brown, seward, store, door, rob, baker, vault",1790.0,1873.0,"Trials and Confessions of Madison Henderson, Alias Blanchard, Alfre... (24 chunks); Sketches of the Life of Joseph Mountain, a Negro, Who Was Executed ... (4 chunks); Confession of John Joyce, Alias Davis, Who Was Executed on Monday, ... (1 chunks)"
93,Whipping and Plantation Punishment,29,"whip, overseer, randall, tandy, flog, tie, cook, field, punish, nt",1838.0,1918.0,"A North-Side View of Slavery. The Refugee: or the Narratives of Fug... (5 chunks); Biography of an American Bondman, by His Daughter (2 chunks); My Life in the South (2 chunks)"
94,River Escapes and Travel,29,"river, raft, cow, journey, water, indian, boat, travel, boys let, road",1825.0,1912.0,"An Autobiography. Bond and Free: Or, Yearnings for Freedom, from My... (5 chunks); A Sketch of the Life of Okah Tubbee, (Called) William Chubbee, Son ... (2 chunks); An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda... (2 chunks)"
95,Food Rations and Plantation Provisions,29,"meal, meat, hoo, allowance, basket, corn, cook, shirt, pork, eat",1837.0,1914.0,"Fifty Years in Chains, or, The Life of an American Slave (4 chunks); Thirty Years a Slave: From Bondage to Freedom: The Institution of S... (4 chunks); Jamie Parker, the Fugitive (3 chunks)"
96,Toussaint Louverture's Leadership in Haiti,29,"toussaint, island, french, petion, france, christophe, domingo, hayti, st domingo, colony",1831.0,1912.0,"A Tribute for the Negro: Being a Vindication of the Moral, Intellec... (7 chunks); God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (5 chunks); The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comp... (5 chunks)"
97,Religious Instruction and Personal Growth,28,"goot, master fight, course life, litton, overseer, servant, peter, fight, mr carleton, life secular",1810.0,1926.0,"The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (3 chunks); Josiah: The Maimed Fugitive. A True Tale (2 chunks); The Life of Josiah Henson, Formerly a Slave, Now an Inhabitant of C... (2 chunks)"
98,Negotiating Freedom through Purchase or Manumission,28,"amos, phillip, dollar, master amos, hundr dollar, trick play, paper, trick, maxwell, mr maxwell",1789.0,1897.0,"Narrative of William Hayden, Containing a Faithful Account of His T... (6 chunks); An Autobiography of the Rev. Josiah Henson (""Uncle Tom""). From 1789... (2 chunks); The Life of Josiah Henson, Formerly a Slave, Now an Inhabitant of C... (2 chunks)"
99,Toussaint Louverture's Military Campaigns and Alliances,28,"gen, toussaint, rochambeau, dessaline, gen leclerc, leclerc, gona ves, ves, gona, troop",1848.0,1912.0,"Toussaint L'Ouverture: A Biography and Autobiography (16 chunks); The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comp... (8 chunks); A Narrative of the Negro (1 chunks)"
100,"Paul, Sea, Manila, Aunt Martha",28,"paul, sea, manila, aunt martha, voyage, ship, whale, built, town, vessel",1840.0,1926.0,"Battles and Victories of Allen Allensworth, A. M., Ph. D., Lieutena... (4 chunks); Life and Times of Frederick Douglass, Written by Himself. His Early... (3 chunks); The Colored Patriots of the American Revolution: With Sketches of S... (3 chunks)"
105,Education and Personal Development,27,"school, hampton, teacher, student, study, taught, coalmine, lesson, tuskegee, college",1861.0,1929.0,A Slave Girl's Story. Being an Autobiography of Kate Drumgoold (6 chunks); Up from Slavery: An Autobiography (6 chunks); An Autobiography: The Story of My Life and Work (2 chunks)
108,Religious Experiences and Conversion,27,"mr stewart, manchester, africa, joanna, mr spurgeon, stage, infancy, spurgeon, driver, tear",1838.0,1929.0,"Narrative of William Hayden, Containing a Faithful Account of His T... (6 chunks); Autobiography of James L. Smith, Including, Also, Reminiscences of ... (2 chunks); Narrative of Joanna; An Emancipated Slave, of Surinam. (From Stedma... (2 chunks)"
107,Employment and Servitude,27,"mrs lincoln, lincoln, mrs, brady, dress, keye, mrs clarke, hotel, lizzie, mcclean",1838.0,1914.0,"Behind the Scenes, or, Thirty years a Slave, and Four Years in the ... (15 chunks); Autobiography of a Female Slave (3 chunks); An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda... (2 chunks)"
106,Whipping and Plantation Punishment,27,"slaveholder, freeland, mr freeland, hilo, disgust slave, human, covey, wick, disgust, african",1826.0,1914.0,"My Bondage and My Freedom. Part I. Life as a Slave. Part II. Life a... (3 chunks); Narrative of the Life of Frederick Douglass, an American Slave. Wri... (3 chunks); Pictures of Slavery in Church and State; Including Personal Reminis... (3 chunks)"
104,Marriage and Family Life,27,"marriage, marry, phillis, husband, conference, canaan, merican, girl, papa, minister",1810.0,1913.0,"An Autobiography. Bond and Free: Or, Yearnings for Freedom, from My... (2 chunks); An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda... (2 chunks); From Log Cabin to the Pulpit, or, Fifteen Years in Slavery (2 chunks)"
103,Baptist Church Practices and Theology,27,"church, baptist, baptiz, baptism, rev, pastor, preach, baptize, ayer, mr ayer",1872.0,1926.0,"Life of the Rev. Elisha W. Green, One of the Founders of the Kentuc... (4 chunks); Autobiography of Bishop Isaac Lane, LL.D. with a Short History of t... (3 chunks); An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda... (2 chunks)"
102,Encounters with Sympathetic Whites,27,"seth, eveline, mr hibbard, hibbard, aunt, jenny, sackett harbor, sackett, store, pa",1826.0,1929.0,The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (4 chunks); Biographical Sketches and Interesting Anecdotes of Persons of Colou... (2 chunks); Bond and Free: A Tale of the South (2 chunks)
101,"Jimmie, Dinkie, Burkit, Ward",27,"jimmie, dinkie, burkit, ward, flame, gilbert, bed, aunt nancy, mrs ward, farwell",1810.0,1929.0,"A Brief Miscellaneous Narrative of the More Early Part of the Life ... (2 chunks); Bond and Free: A Tale of the South (2 chunks); From Log Cabin to the Pulpit, or, Fifteen Years in Slavery (2 chunks)"
114,Spiritual Awakening and Conversion,26,"pray, lord, sanctify, jesus, oh, sing, convert, didnt, soul, sanctification",1839.0,1926.0,"An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda... (21 chunks); Chains and Freedom: Or, The Life and Adventures of Peter Wheeler, a... (2 chunks); Twice Sold, Twice Ransomed: Autobiography of Mr. and Mrs. L. P. Ray (2 chunks)"
117,Blindness and Economic Dependence,26,"elleanor, blake, folger, matthia, sally, mammy blake, mrs, captain brown, ninus, mammy",1832.0,1926.0,"Aunt Sally: or, The Cross the Way of Freedom. A Narrative of the Sl... (3 chunks); Memoirs of Elleanor Eldridge (3 chunks); Narrative of Sojourner Truth; a Bondswoman of Olden Time, Emancipat... (3 chunks)"
116,Separation from Family Members,26,"sister, flint, grandmother, dr flint, mrs ruffner, ruffner, mother house, ellen, bayliss, son",1825.0,1914.0,"Incidents in the Life of a Slave Girl. Written by Herself (6 chunks); Narrative of William Hayden, Containing a Faithful Account of His T... (4 chunks); A Slave Girl's Story. Being an Autobiography of Kate Drumgoold (2 chunks)"
115,"Mr Madison, Primus, Born, Young Walker",26,"mr madison, primus, born, young walker, colonel monroe, race, madison, fugitive, washington, helm",1848.0,1916.0,"Last of the Pioneers: Or, Old Times in East Tenn., Being the Life a... (3 chunks); Men of Mark: Eminent, Progressive and Rising (3 chunks); Life and Times of Frederick Douglass, Written by Himself. His Early... (2 chunks)"
118,Whipping and Plantation Punishment,26,"horse, shop, mr garner, israel, door, rode, robbin, covington, master jame, blacksmith",1825.0,1914.0,"An Autobiography. Bond and Free: Or, Yearnings for Freedom, from My... (7 chunks); A North-Side View of Slavery. The Refugee: or the Narratives of Fug... (3 chunks); A Brief Miscellaneous Narrative of the More Early Part of the Life ... (2 chunks)"
113,"Pound, Pullman, Tunnel, Mingo",26,"pound, pullman, tunnel, mingo, hunter, job, steubenville, pound shilling, emma, ruffner",1798.0,1922.0,"A Narrative of the Life and Adventures of Venture, a Native of Afri... (6 chunks); Memoirs of Samuel Spottford Clement Relating Interesting Experience... (4 chunks); A Sketch of the Life of Okah Tubbee, (Called) William Chubbee, Son ... (3 chunks)"
112,Correspondence and Separation from Loved Ones,26,"dear wife, dear, letter, brother cousin, write, cousin, thoma jone, mind write, chavis, till death",1839.0,1909.0,"The Experience of Thomas H. Jones, who was a Slave for Forty-Three ... (6 chunks); The Experience of Rev. Thomas H. Jones, Who Was a Slave for Forty-T... (5 chunks); Behind the Scenes, or, Thirty years a Slave, and Four Years in the ... (2 chunks)"
111,Whipping and Plantation Punishment,26,"slaveholder, covey, mr covey, mr gordon, peter, gordon, scraper, worst, jess, mutton",1838.0,1892.0,"My Bondage and My Freedom. Part I. Life as a Slave. Part II. Life a... (4 chunks); Chains and Freedom: Or, The Life and Adventures of Peter Wheeler, a... (3 chunks); A North-Side View of Slavery. The Refugee: or the Narratives of Fug... (2 chunks)"
110,Escape and Fugitive Life,26,"harriet, joe, cyrus, cato, hound, boat, fugitive, runaway, journey, charley",1845.0,1926.0,"Biography of a Slave; Being the Experiences of Rev. Charles Thompso... (3 chunks); Harriet, the Moses of Her People (3 chunks); John and Mary; or, The Fugitive Slaves, a Tale of South-Eastern Pen... (3 chunks)"
109,Cotton Picking and Plantation Labor,26,"cotton, pick, pound, plant, pick cotton, harmattan, field, bale, worm, seed",1789.0,1897.0,"Slavery in the United States: A Narrative of the Life and Adventure... (7 chunks); Slave Life in Georgia: A Narrative of the Life, Sufferings, and Esc... (4 chunks); Thirty Years a Slave: From Bondage to Freedom: The Institution of S... (3 chunks)"
119,Traveling through Wilderness and Uncertainty,25,"road, approach, travel, howl, indian, wolve, distance, lake, wilderness, travel night",1836.0,1913.0,"An Autobiography of the Rev. Josiah Henson (""Uncle Tom""). From 1789... (3 chunks); Uncle Tom's Story of His Life. An Autobiography of the Rev. Josiah ... (3 chunks); Hair-breadth Escapes from Slavery to Freedom (2 chunks)"
120,Abolitionist Influences,25,"douglass, gavan, american, mr gavan, office, wm, garrison, lundy, christopher mcpherson, epps",1847.0,1917.0,"Frederick Douglass The Colored Orator (6 chunks); Life and Times of Frederick Douglass, Written by Himself. His Early... (2 chunks); Men of Mark: Eminent, Progressive and Rising (2 chunks)"
121,Government Revenue and Tariffs,25,"tax, tariff, taxation, import, manufacturer, impost, million, cent, article, government",1789.0,1917.0,"Life and Opinions of Julius Melbourn; with Sketches of the Lives an... (14 chunks); My Life and Work (3 chunks); The Life and Adventures of Zamba, an African Negro King; and His Ex... (3 chunks)"
122,Whipping and Plantation Punishment,25,"weell, weell ho, ho, suffer, plantation, lash, susanna, slaveholder, cruel, blood",1832.0,1926.0,"American Slavery As It Is: Testimony of a Thousand Witnesses (3 chunks); Incidents in the Life of a Slave Girl. Written by Herself (2 chunks); Poems by a Slave in the Island of Cuba, Recently Liberated; Transla... (2 chunks)"
123,Racial Barriers to Education,25,"school, teacher, institute, pupil, color people, education, color child, public school, school pupil, society",1826.0,1917.0,"A Narrative of the Negro (4 chunks); An Autobiography: The Story of My Life and Work (3 chunks); Men of Mark: Eminent, Progressive and Rising (3 chunks)"
124,Land Ownership and Agricultural Labor,25,"gravel, brick, timber, kiln, cahill, mr cahill, mr blount, uncle scott, blount, stearn",1853.0,1917.0,From Slavery to Wealth. The Life of Scott Bond. The Rewards of Hone... (21 chunks); Bond and Free: A Tale of the South (1 chunks); Life of George Henry. Together with a Brief History of the Colored ... (1 chunks)
125,Lectures by Sojourner Truth,25,"sojourner, sojourner truth, truth, petition, government, lecture, suffrage, sibyl, audience, washington",1875.0,1926.0,"Narrative of Sojourner Truth; a Bondswoman of Olden Time, Emancipat... (13 chunks); Frederick Douglass The Colored Orator (4 chunks); Homespun Heroines and Other Women of Distinction (2 chunks)"
131,Surviving Hunger through Hunting,24,"turkey, josh, chicken, tag, harry, bird, brazen, ned, sieve, massa",1837.0,1929.0,"Fifty Years of Slavery in the United States of America (3 chunks); Last of the Pioneers: Or, Old Times in East Tenn., Being the Life a... (2 chunks); My Life in the South (2 chunks)"
133,Racial Identity and Relationships,24,"colour, student, white people, moton, race, major moton, colour people, community, contact, southern",1855.0,1917.0,"My Larger Education: Being Chapters from My Experience (8 chunks); Up from Slavery: An Autobiography (4 chunks); Booker T. Washington, Builder of a Civilization (3 chunks)"
132,Addressing White Audiences in the South,24,"address, atlanta, exposition, audience, race, invitation, tuskegee, director, problem, southern",1852.0,1911.0,"An Autobiography: The Story of My Life and Work (9 chunks); Up from Slavery: An Autobiography (9 chunks); The History of My Life and Work. Autobiography by Rev. M. L. Latta,... (3 chunks)"
129,"River, King, Hous, Meroe",24,"river, king, hous, meroe, kingdom, consist, ancient, distance, sahara, variety",1789.0,1917.0,"The Interesting Narrative of the Life of Olaudah Equiano, or Gustav... (3 chunks); A Narrative of the Negro (2 chunks); Biography of Mahommah G. Baquaqua, a Native of Zoogoo, in the Inter... (2 chunks)"
128,Acknowledging Assistance from Friends,24,"yea, writer, johnson, mission, mr johnson, rev johnson, duly, amen, rev, selah",1847.0,1924.0,"Wilkerson's History of His Travels &amp; Labors, in the United Stat... (8 chunks); Twenty-Eight Years a Slave, or The Story of My Life in Three Contin... (6 chunks); Africa for Christ. Twenty-Eight Years a Slave (2 chunks)"
130,Financial Support and Recognition for Slave Leaders,24,"chase, eustace, belin, dollar, honour, jasper, rev, hawkin, st domingo, mr chase",1826.0,1916.0,"A Tribute for the Negro: Being a Vindication of the Moral, Intellec... (6 chunks); Autobiography of a Fugitive Negro: His Anti-Slavery Labours in the ... (2 chunks); John Jasper: The Unmatched Negro Philosopher and Preacher (2 chunks)"
126,The Fugitive Slave Act and Public Opinion,24,"law, jerry, court, fugitive, marshal, boston, fugitive slave, faneuil hall, faneuil, liberty",1846.0,1914.0,"Anthony Burns: A History (8 chunks); Autobiography of a Fugitive Negro: His Anti-Slavery Labours in the ... (3 chunks); The Rev. J. W. Loguen, as a Slave and as a Freeman. A Narrative of ... (3 chunks)"
127,Racial Prejudice at West Point,24,"cadet, flipper, west point, color cadet, smith, west, academy, graduate, cadet smith, officer",1878.0,1878.0,The Colored Cadet at West Point. Autobiography of Lieut. Henry Ossi... (24 chunks)
134,The Nature of Temptation and Sin,23,"ter, uv, dat, wuz, yer, dey, gord, iz, wat, fer",1895.0,1908.0,John Jasper: The Unmatched Negro Philosopher and Preacher (21 chunks); The Anderson Surpriser. Written After He Was Seventy-Five Years of ... (2 chunks)
135,Negro Education and Racial Progress,23,"education, school, industrial, miss crandall, negro education, high education, crandall, college, washington, negro school",1880.0,1917.0,"Booker T. Washington, Builder of a Civilization (5 chunks); A Narrative of the Negro (3 chunks); The History of My Life and Work. Autobiography by Rev. M. L. Latta,... (3 chunks)"
136,Grief and Mourning,23,"phebe, tenn, dear, dear wife, paul, toussaint, death dear, mr chaplain, miss, oh",1782.0,1916.0,"Memoir of Pierre Toussaint, Born a Slave in St. Domingo (3 chunks); Autobiography of Bishop Isaac Lane, LL.D. with a Short History of t... (2 chunks); Elizabeth, a Colored Minister of the Gospel Born in Slavery (2 chunks)"
137,Methodist Episcopal Church Organization and Governance,23,"bishop, conference, episcopal, general conference, church, methodist episcopal, episcopal church, methodist, elect, organization",1864.0,1917.0,"Autobiography of Bishop Isaac Lane, LL.D. with a Short History of t... (8 chunks); My Life and Work (5 chunks); Autobiography and Work of Bishop M. F. Jamison, D.D. (""Uncle Joe"") ... (3 chunks)"
138,Navigating Wilderness Environments,23,"swamp, tree, road, alligator, pine, fallen, bushe, pine tree, water, wood",1837.0,1902.0,"Fifty Years in Chains, or, The Life of an American Slave (9 chunks); Slavery in the United States: A Narrative of the Life and Adventure... (8 chunks); Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of Ne... (3 chunks)"
144,Patriotism and National Identity,22,"soldier, attuck, regiment, american, war, passport, citizen, enlist, nation, liberty",1853.0,1922.0,"The Colored Patriots of the American Revolution: With Sketches of S... (6 chunks); Life and Times of Frederick Douglass, Written by Himself. His Early... (2 chunks); Men of Mark: Eminent, Progressive and Rising (2 chunks)"
148,Military Training and Hazing at West Point,22,"plebe, cadet, class, camp, drill, benny haven, benny, haz, yearl, guard",1878.0,1878.0,The Colored Cadet at West Point. Autobiography of Lieut. Henry Ossi... (22 chunks)
147,Marriage and Family Separation,22,"wife child, buy, vandervall, mr barter, young mistress, bibb, sold, cowen, gatewood, cellar",1837.0,1922.0,"Days of Bondage. Autobiography of Friday Jones. Being a Brief Narra... (2 chunks); From Log Cabin to the Pulpit, or, Fifteen Years in Slavery (2 chunks); Incidents in the Life of a Slave Girl. Written by Herself (2 chunks)"
146,Purchasing Freedom through Labor,22,"dollar, sold, mrs brown, new orlean, purchase, betsey, orlean, neworlean, maury county, serena",1826.0,1926.0,"Biographical Sketches and Interesting Anecdotes of Persons of Colou... (2 chunks); Narratives of Colored Americans (2 chunks); A Family Redeemed from Bondage; Being Rev. Edmond Kelley, (the Auth... (1 chunks)"
145,Deception and Betrayal by Slave Traders,22,"doctor, mr wilson, maria, wife child, aunt, mr grip, esq william, gaol, grip, wilson",1797.0,1902.0,A True Tale of Slavery. From The Leisure Hour: A Family Journal of ... (2 chunks); Life and Opinions of Julius Melbourn; with Sketches of the Lives an... (2 chunks); A Lost Family Found; An Authentic Narrative of Cyrus Branch and His... (1 chunks)
140,Whipping and Plantation Punishment,22,"gordon, fugitive, miss gordon, pompey, henson, mission hall, aaron, miss perk, perk, sheep",1826.0,1926.0,"Men of Mark: Eminent, Progressive and Rising (3 chunks); A North-Side View of Slavery. The Refugee: or the Narratives of Fug... (2 chunks); Biographical Sketches and Interesting Anecdotes of Persons of Colou... (2 chunks)"
143,Abraham Lincoln's Emancipation and its Aftermath,22,"abraham lincoln, lincoln, abraham, emancipation, american, rule saw, liberty, tousaint, france, celebrate",1852.0,1929.0,"Frederick Douglass The Orator. Containing an Account of His Life; H... (5 chunks); Life and Times of Frederick Douglass, Written by Himself. His Early... (4 chunks); Frederick Douglass (3 chunks)"
142,Christian Faith and Preaching,22,"preach, matthia, ferrill, stewart, doctrine, lazarus, stink, christ, jesus, mr folger",1811.0,1912.0,"The Missionary Pioneer, or A Brief Memoir of the Life, Labours, and... (4 chunks); Autobiography and Work of Bishop M. F. Jamison, D.D. (""Uncle Joe"") ... (3 chunks); The Life, History, and Unparalleled Sufferings of John Jea, the Afr... (3 chunks)"
141,Christianity and Slaveholders,22,"church, thompson, preach, mr grime, sermon, mr thompson, preacher, deacon, grime, anthony",1833.0,1922.0,"Anthony Burns: A History (2 chunks); An Autobiography. Bond and Free: Or, Yearnings for Freedom, from My... (1 chunks); An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda... (1 chunks)"
139,Marriage and Family Ties,22,"marry, marriage, eliza, mrs price, price, st john, philip, mrs, ensor, maria",1810.0,1893.0,"A Narrative of Some Remarkable Incidents in the Life of Solomon Bay... (2 chunks); Narrative of the Life and Adventures of Henry Bibb, an American Sla... (2 chunks); An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda... (1 chunks)"
149,Separation from Family,22,"mr walker, sound jubilee, nealy, di, walker, sold, day com, john ardinburgh, good funeral, steal meat",1843.0,1929.0,"Incidents in the Life of a Slave Girl. Written by Herself (3 chunks); Narrative of William W. Brown, a Fugitive Slave. Written by Himself (3 chunks); Horrors of the Virginian Slave Trade and of the Slave-Rearing Plant... (2 chunks)"
157,Whipping and Plantation Punishment,21,"overseer, edloe, plantation, whip, randall, dinkie, ben, tobacco, old peter, driver",1836.0,1901.0,American Slavery As It Is: Testimony of a Thousand Witnesses (2 chunks); Anthony Burns: A History (2 chunks); Recollections of Slavery by a Runaway Slave (2 chunks)
155,Author's Life and Purpose,21,"aldridge, job, grace, lincoln, mr aldridge, dear mrs, mrs lincoln, dear, mrs keckley, letter",1734.0,1929.0,"Letters of the Late Ignatius Sancho, An African. In Two Volumes. To... (3 chunks); A Tribute for the Negro: Being a Vindication of the Moral, Intellec... (2 chunks); Behind the Scenes, or, Thirty years a Slave, and Four Years in the ... (2 chunks)"
156,Frederick Douglass as Anti-Slavery Orator,21,"douglass, antislavery, speech, mr douglass, haliburton, audience, constitution, abolitionist, frederick, garrison",1847.0,1912.0,Frederick Douglass The Colored Orator (6 chunks); A Narrative of the Negro (2 chunks); Frederick Douglass (2 chunks)
154,Escaping Slavery through Military Alliances,21,"mallory, war, col, south carolina, gen, col mallory, gen wild, march, guerrilla, raid",1845.0,1912.0,"The Colored Patriots of the American Revolution: With Sketches of S... (4 chunks); Autobiography of James L. Smith, Including, Also, Reminiscences of ... (3 chunks); The Black Man: His Antecedents, His Genius, and His Achievements (2 chunks)"
152,The Role of John Jasper as a Baptist Pastor,21,"pastor, church, baptist, sermon, rev, baptist church, jeter, church rev, jasper, saviour",1826.0,1911.0,"A Tribute for the Negro: Being a Vindication of the Moral, Intellec... (3 chunks); John Jasper: The Unmatched Negro Philosopher and Preacher (3 chunks); Biography of Elder Lott Cary, Late Missionary to Africa. With an Ap... (2 chunks)"
151,Christian Faith and Salvation,21,"christ, holy, heaven, israel, faith, gospel, salvation, soul, st peter, holt",1810.0,1922.0,"A Brief Miscellaneous Narrative of the More Early Part of the Life ... (2 chunks); The Looking-Glass: Being a True Report and Narrative of the Life, T... (2 chunks); Twenty-Eight Years a Slave, or The Story of My Life in Three Contin... (2 chunks)"
150,Traveling as a Fugitive Slave,21,"cassy, sojourner, tavern, hostess, thimble, tribute sar, night lodg, york shilling, road, travel",1836.0,1898.0,"Narrative of Sojourner Truth; a Bondswoman of Olden Time, Emancipat... (8 chunks); Narrative of Sojourner Truth, a Northern Slave, Emancipated from Bo... (4 chunks); The Slave: or Memoirs of Archy Moore. Vol. II (4 chunks)"
153,Grief and Mourning,21,"mrs lincoln, lincoln, mr lincoln, mrs, white house, willie, grief, president, miss, flower",1852.0,1897.0,"Behind the Scenes, or, Thirty years a Slave, and Four Years in the ... (9 chunks); Autobiography of a Female Slave (4 chunks); Aunt Dice: The Story of a Faithful Slave (1 chunks)"
158,Prejudice and Social Exclusion at West Point,20,"cadet, west point, west, prejudice, guard, color cadet, treatment, academy, report, officer",1878.0,1878.0,The Colored Cadet at West Point. Autobiography of Lieut. Henry Ossi... (20 chunks)
159,The Power of Positive Thinking and Redemption,20,"happiness, heaven, thou, dear, hell, self, joys, bles, happy, self love",1782.0,1910.0,"Letters of the Late Ignatius Sancho, An African. In Two Volumes. To... (3 chunks); The Rev. J. W. Loguen, as a Slave and as a Freeman. A Narrative of ... (3 chunks); Samuel Joseph May. Born in Boston, Massachusetts, September 12th, 1... (2 chunks)"
160,Christianity and American Politics,20,"christ king, alia pherson, son christ, pherson, pherson son, king lord, seal, richmond tuesday, tuesday th, king king",1835.0,1917.0,"A Short History of the Life of Christopher McPherson, Alias Pherson... (10 chunks); Frederick Douglass The Colored Orator (2 chunks); My Life and Work (2 chunks)"
161,Escape Attempts and Punishment,20,"gad, whip, eat, fetch, mr bass, umbrella, yard, frankee, rope, victual",1825.0,1918.0,"An Autobiography. Bond and Free: Or, Yearnings for Freedom, from My... (4 chunks); Life of William Grimes, the Runaway Slave, Brought Down to the Pres... (3 chunks); Life of William Grimes, the Runaway Slave. Written by Himself (3 chunks)"
162,Abolitionist Movement and American Politics,20,"abraham lincoln, abraham, republic, lincoln, american, principle, nation, union, ireland, government",1847.0,1917.0,"Life and Times of Frederick Douglass, Written by Himself. His Early... (6 chunks); Frederick Douglass The Orator. Containing an Account of His Life; H... (2 chunks); God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (2 chunks)"
178,Fugitive Slave Act and Resistance,19,"prison, convict, ellen, boston, archer, contract, cary, ashmun, mr ashmun, craft",1826.0,1893.0,"Buried Alive (Behind Prison Walls) for a Quarter of a Century: Life... (4 chunks); Anthony Burns: A History (2 chunks); Life and Adventures of James Williams, a Fugitive Slave, with a Ful... (2 chunks)"
171,Imprisonment and Interrogation,19,"jail, prison, cell, gaol, iron, jailor, friend alabama, lock, bolt, alabama",1825.0,1892.0,"A Narrative of Events of the Life of J. H. Banks, an Escaped Slave,... (3 chunks); Life and Times of Frederick Douglass, Written by Himself. His Early... (2 chunks); My Bondage and My Freedom. Part I. Life as a Slave. Part II. Life a... (2 chunks)"
177,Whipping and Plantation Punishment,19,"overseer, hog, whip, mr lipscomb, lipscomb, burton, pallam, mr pallam, run away, pig",1825.0,1910.0,"A North-Side View of Slavery. The Refugee: or the Narratives of Fug... (3 chunks); The History of My Life and Work. Autobiography by Rev. M. L. Latta,... (2 chunks); The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (2 chunks)"
